,Order Number,Date of Order,Time of Order,Lineitem name,Accepts Marketing,Cancelled/Not,Currency,Financial Status,Fulfillment Status,Lineitem fulfillment status,Lineitem price,Lineitem quantity,Lineitem requires shipping,Outstanding Balance,Payment Method,Refunded Amount,Risk Level,Shipping,Shipping Country,Shipping Method,Source,Subtotal,Total,Category,Month of Order,Year of Order
2631,R-S-2475,2020-12-01,12:46:56,Pink Sweat Co-ord - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,83.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Sweat Pants,12,2020
2632,R-S-2476,2020-12-01,15:03:47,Basic Hoodie Sweat Coord - Flamingo Pink - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Hoodie,12,2020
2633,R-S-2476,2020-12-01,15:03:47,Longsleeve Statement Tshirt - White - M,Yes,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,40.0,1,1,0.0,Custom,36.0,Low,2.0,LB,Local shipping,Web,153.0,155.0,Sweat Pants,12,2020
2634,R-S-2477,2020-12-01,15:53:27,Statement Tshirt - Black - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,35.0,1,1,0.0,Custom,0.0,Low,0.0,LB,Local shipping,Shopify_draft_order,70.0,70.0,Sweat Pants,12,2020
2635,R-S-2477,2020-12-01,15:53:27,Statement Tshirt - White - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,35.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Sweat Pants,12,2020
2636,R-S-2478,2020-12-01,17:43:29,Basic Hoodie Sweat Coord - Blue Fog - M,No,Not Cancelled,USD,Paid,Fulfilled,Pending,83.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Hoodie,12,2020
2637,R-S-2478,2020-12-01,17:43:29,Basic Hoodie Sweat Coord - Blue Fog - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,83.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Hoodie,12,2020
2638,R-S-2478,2020-12-01,17:43:29,Basic Hoodie Sweat Coord - Grey Marl - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,110.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Hoodie,12,2020
2639,R-S-2478,2020-12-01,17:43:29,Basic Hoodie Sweat Coord - Orchid - S,Yes,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom + manual,406.0,Low,2.0,LB,Local shipping,Web,406.0,408.0,Hoodie,12,2020
2640,R-S-2479,2020-12-01,22:07:32,Basic Hoodie Sweat Coord - Blue Fog - L,Yes,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,83.0,1,1,0.0,Custom,83.0,Low,2.0,LB,Local shipping,Shopify_draft_order,83.0,85.0,Hoodie,12,2020
2641,R-S-2480,2020-12-01,22:33:18,Black Statement Sweatshirt - L,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Shopify_draft_order,65.0,67.0,Sweatshirt,12,2020
2642,R-S-2481,2020-12-01,22:44:33,Basic Hoodie Sweat Coord - Orchid - L,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,0.0,LB,Local shipping,Shopify_draft_order,110.0,110.0,Hoodie,12,2020
2643,R-S-2482,2020-12-02,00:04:11,White Meem Asymmetric Top - OS,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,49.0,51.0,Top,12,2020
2644,R-S-2483,2020-12-02,12:04:00,Basic Hoodie Sweat Coord - Blue Fog - M,Yes,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,83.0,1,1,0.0,Custom,74.7,Low,2.0,LB,Local shipping,Web,74.7,76.7,Hoodie,12,2020
2645,R-S-2484,2020-12-03,11:08:20,Basic Sweat Coord - Black - L / Heavy,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,170.0,172.0,Sweat Coord,12,2020
2646,R-S-2484,2020-12-03,11:08:20,Wide Sweatpants in Black - XL,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,40.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2647,R-S-2485,2020-12-03,15:51:17,Basic Hoodie Sweat Coord - Flamingo Pink - M,No,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,130.0,1,1,0.0,Manual,130.0,Low,0.0,LB,Local shipping,Iphone,344.0,344.0,Hoodie,12,2020
2648,R-S-2485,2020-12-03,15:51:17,Basic Hoodie Sweat Coord - Latte - M,No,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,130.0,1,1,0.0,Manual,0.0,0,0.0,LB,Local shipping,Iphone,0.0,0.0,Hoodie,12,2020
2649,R-S-2485,2020-12-03,15:51:17,Palazzo Sweat Coord - Grey Marl - S,No,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,130.0,1,1,0.0,Manual,0.0,0,0.0,LB,Local shipping,Iphone,0.0,0.0,Sweat Coord,12,2020
2650,R-S-2486,2020-12-03,15:57:06,Basic Hoodie Sweat Coord - Caramel - L,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Manual,0.0,Low,0.0,LB,Local shipping,Iphone,234.0,234.0,Hoodie,12,2020
2651,R-S-2486,2020-12-03,15:57:06,Basic Sweat Coord - Green Tea - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Manual,0.0,0,0.0,LB,Local shipping,Iphone,0.0,0.0,Sweat Coord,12,2020
2652,R-S-2487,2020-12-03,16:23:55,Basic Hoodie Sweat Coord - Mocha - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Manual,0.0,0,0.0,LB,Local shipping,Iphone,0.0,0.0,Hoodie,12,2020
2653,R-S-2487,2020-12-03,16:23:55,Black & White Fighter Sweatshirt - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,195.0,197.0,Sweatshirt,12,2020
2654,R-S-2488,2020-12-03,17:55:03,Basic Hoodie Sweat Coord - Marshmallow Pink - M,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,130.0,132.0,Hoodie,12,2020
2655,R-S-2489,2020-12-03,20:29:11,Basic Sweat Coord - Smoky Rose - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,0.0,LB,Local shipping,Shopify_draft_order,84.0,84.0,Sweat Coord,12,2020
2656,R-S-2490,2020-12-03,20:33:20,Fighter Tshirt - Black - M,No,Not Cancelled,USD,Paid,Fulfilled,Pending,35.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Sweat Pants,12,2020
2657,R-S-2490,2020-12-03,20:33:20,Longsleeve Fighter Tshirt - White - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,40.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Sweat Pants,12,2020
2658,R-S-2490,2020-12-03,20:33:20,Longsleeve Fighter Tshirt - White - M,Yes,Not Cancelled,USD,Paid,Fulfilled,Pending,40.0,1,1,75.0,Custom,0.0,Low,4.0,LB,Global shipping,Shopify_draft_order,115.0,119.0,Sweat Pants,12,2020
2659,R-S-2491,2020-12-04,01:10:12,Basic Hoodie Sweat Coord - Marshmallow Pink - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,179.0,181.0,Hoodie,12,2020
2660,R-S-2491,2020-12-04,01:10:12,Oversized Polo Shirt - White - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2661,R-S-2492,2020-12-04,02:03:50,Grey Fighter Sweatshirt - L,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,65.0,67.0,Sweatshirt,12,2020
2662,R-S-2493,2020-12-04,13:27:23,Oxblood Statement Sweatshirt - M,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Shopify_draft_order,65.0,67.0,Sweatshirt,12,2020
2663,R-S-2494,2020-12-04,20:31:13,Basic Hoodie Sweat Coord - Grey Marl - L,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,110.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Shopify_draft_order,110.0,112.0,Hoodie,12,2020
2664,R-S-2495,2020-12-04,21:45:13,Palazzo Sweat Coord - Purple Marl - L,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,0.0,LB,Local shipping,Shopify_draft_order,110.0,110.0,Sweat Coord,12,2020
2665,R-S-2496,2020-12-04,21:50:37,Palazzo Sweat Coord - Black - L,Yes,Not Cancelled,USD,Paid,Unfulfilled,Pending,130.0,1,1,0.0,Custom,0.0,Low,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Sweat Coord,12,2020
2666,R-S-2497,2020-12-04,22:08:45,Palazzo Sweat Coord - Purple Marl - S,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Shopify_draft_order,110.0,112.0,Sweat Coord,12,2020
2667,R-S-2498,2020-12-04,22:18:26,Basic Sweat Coord - Black - L / Heavy,Yes,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,99.0,Low,2.0,LB,Local shipping,Shopify_draft_order,99.0,101.0,Sweat Coord,12,2020
2668,R-S-2499,2020-12-04,22:29:28,Basic Sweat Coord - Ice Blue - S,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,110.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,110.0,112.0,Sweat Coord,12,2020
2669,R-S-2500,2020-12-04,23:38:34,Basic Hoodie Sweat Coord - Espresso - M,Yes,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,130.0,Low,2.0,LB,Local shipping,Web,130.0,132.0,Hoodie,12,2020
2670,R-S-2501,2020-12-05,11:32:02,Basic Hoodie Sweat Coord - Blue Fog - L,Yes,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,83.0,1,1,0.0,Custom,74.6,Low,2.0,LB,Local shipping,Web,74.7,76.7,Hoodie,12,2020
2671,R-S-2502,2020-12-05,16:38:35,Basic Hoodie Sweat Coord - Black - L / Heavy,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,2,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,351.0,353.0,Hoodie,12,2020
2672,R-S-2502,2020-12-05,16:38:35,Basic Hoodie Sweat Coord - Orchid - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Hoodie,12,2020
2673,R-S-2503,2020-12-05,22:37:19,Palazzo Sweat Coord - Purple Marl - S,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Shopify_draft_order,130.0,132.0,Sweat Coord,12,2020
2674,R-S-2504,2020-12-05,23:05:45,Basic Sweat Coord - Cream - S,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Shopify_draft_order,130.0,132.0,Sweat Coord,12,2020
2675,R-S-2505,2020-12-05,23:20:16,Palazzo Sweat Coord - Purple Marl - S,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Shopify_draft_order,130.0,132.0,Sweat Coord,12,2020
2676,R-S-2506,2020-12-05,23:57:28,Basic Hoodie Sweat Coord - Black - L / Heavy,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Hoodie,12,2020
2677,R-S-2506,2020-12-05,23:57:28,Oxblood Fighter Sweatshirt - M,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,Low,0.0,LB,Local shipping,Shopify_draft_order,143.4,143.4,Sweatshirt,12,2020
2678,R-S-2507,2020-12-05,23:59:24,Anya Phantom Sweatshirt in Charcoal - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,55.0,1,1,0.0,Custom,0.0,Low,0.0,LB,Local shipping,Shopify_draft_order,135.0,135.0,Sweatshirt,12,2020
2679,R-S-2507,2020-12-05,23:59:24,Wide Sweatpants in Charcoal - XL,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,40.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Sweat Pants,12,2020
2680,R-S-2507,2020-12-05,23:59:24,Wide Sweatpants in Indigo - XL,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,40.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Sweat Pants,12,2020
2681,R-S-2508,2020-12-06,00:14:56,Anya Hoodie Sweatshirt in Charcoal - L,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,59.0,1,1,0.0,Custom,0.0,Low,0.0,LB,Local shipping,Shopify_draft_order,99.0,99.0,Hoodie,12,2020
2682,R-S-2508,2020-12-06,00:14:56,Wide Sweatpants in Charcoal - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,40.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Sweat Pants,12,2020
2683,R-S-2509,2020-12-06,01:23:13,Basic Hoodie Sweat Coord - Orchid - S,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Shopify_draft_order,130.0,132.0,Hoodie,12,2020
2684,R-S-2510,2020-12-06,12:09:49,Balloon Shirt - Blue Pattern - OS,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,35.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,173.0,175.0,Sweat Pants,12,2020
2685,R-S-2510,2020-12-06,12:09:49,Longsleeve Statement Tshirt - White - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,40.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2686,R-S-2510,2020-12-06,12:09:49,Oversized Polo Shirt - Black - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2687,R-S-2510,2020-12-06,12:09:49,Oversized Polo Shirt - Scarlet - L,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2688,R-S-2511,2020-12-06,12:44:18,Basic Hoodie Sweat Coord - Flamingo Pink - S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,130.0,132.0,Hoodie,12,2020
2689,R-S-2512,2020-12-06,22:06:03,Oxblood Statement Sweatshirt - M,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,65.0,67.0,Sweatshirt,12,2020
2690,R-S-2513,2020-12-06,22:17:21,Oxblood Statement Sweatshirt - M,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,65.0,67.0,Sweatshirt,12,2020
2691,R-S-2514,2020-12-07,14:07:45,Aristotle Silk Scarf - Double,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,100.0,1,1,120.0,Custom,0.0,Low,0.0,LB,Local shipping,Shopify_draft_order,120.0,120.0,Scarf,12,2020
2692,R-S-2514,2020-12-07,14:07:45,Wool Blend Metallic Beanie - Beige,No,Not Cancelled,USD,Pending,Unfulfilled,Pending,25.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Shopify_draft_order,0.0,0.0,Beanie,12,2020
2693,R-S-2515,2020-12-07,14:14:46,Exchange solo pants,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,0.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Shopify_draft_order,0.0,2.0,Sweat Pants,12,2020
2694,R-S-2516,2020-12-07,20:07:41,Basic Hoodie Sweat Coord - Baby Blue - L,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,117.0,119.0,Hoodie,12,2020
2695,R-S-2517,2020-12-07,20:18:44,Little Fighter Sweatshirt - Black - 3-4 Years,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2696,R-S-2517,2020-12-07,20:18:44,Little Fighter Sweatshirt - Military - 1-2 Years,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2697,R-S-2517,2020-12-07,20:18:44,Little Fighter Sweatshirt - Navy & White - 1-2 Years,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2698,R-S-2517,2020-12-07,20:18:44,Little Sweatpants - Black - 3-4 Years,Yes,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,39.0,1,1,266.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,264.0,266.0,Sweat Pants,12,2020
2699,R-S-2517,2020-12-07,20:18:44,Little Sweatpants - Military - 1-2 Years,No,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,39.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2700,R-S-2517,2020-12-07,20:18:44,Little Sweatpants - Navy - 1-2 Years,No,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,39.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2701,R-S-2518,2020-12-07,20:29:11,Little Fighter Sweatshirt - Black - 1-2 Years,Yes,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,49.0,1,1,100.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,98.0,100.0,Sweatshirt,12,2020
2702,R-S-2518,2020-12-07,20:29:11,Little Fighter Sweatshirt - Emerald - 5-6 Years,No,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2703,R-S-2519,2020-12-07,21:21:11,Little Fighter Sweatshirt - Black - 5-6 Years,No,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2704,R-S-2519,2020-12-07,21:21:11,Little Fighter Sweatshirt - Black - 9-10 Years,No,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2705,R-S-2519,2020-12-07,21:21:11,Little Sweatpants - Black - 5-6 Years,No,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,39.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2706,R-S-2519,2020-12-07,21:21:11,Little Sweatpants - Black - 9-10 Years,No,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,39.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2707,R-S-2519,2020-12-07,21:21:11,Oxblood Statement Sweatshirt - M,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,241.0,243.0,Sweatshirt,12,2020
2708,R-S-2520,2020-12-07,21:50:09,Basic Sweat Coord - Defected Items - Marshmallow Pink S,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,96.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Coord,12,2020
2709,R-S-2520,2020-12-07,21:50:09,Emerald & Fuschia Fighter Sweatshirt - M,Yes,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,65.0,1,1,271.0,Manual,0.0,Low,2.0,LB,Local shipping,Iphone,269.0,271.0,Sweatshirt,12,2020
2710,R-S-2520,2020-12-07,21:50:09,Little Fighter Sweatshirt - Emerald - 9-10 Years,No,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,49.0,1,1,0.0,Manual,0.0,0,0.0,LB,Local shipping,Iphone,0.0,0.0,Sweatshirt,12,2020
2711,R-S-2520,2020-12-07,21:50:09,Oxblood Fighter Sweatshirt - M,No,Not Cancelled,USD,Pending,Fulfilled,Fulfilled,65.0,1,1,0.0,Manual,0.0,0,0.0,LB,Local shipping,Iphone,0.0,0.0,Sweatshirt,12,2020
2712,R-S-2521,2020-12-07,22:08:55,Basic Hoodie Sweat Coord - Flamingo Pink - S,Yes,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,130.0,Low,2.0,LB,Local shipping,Web,195.0,197.0,Hoodie,12,2020
2713,R-S-2521,2020-12-07,22:08:55,Black Glitter Fighter Sweatshirt - M,No,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2714,R-S-2522,2020-12-07,23:55:46,Little Fighter Sweatshirt - Navy & Fuschia - 3-4 Years,No,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2715,R-S-2522,2020-12-07,23:55:46,Little Sweatpants - Black - 3-4 Years,No,Not Cancelled,USD,Partially_refunded,Fulfilled,Fulfilled,39.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2716,R-S-2522,2020-12-07,23:55:46,Little Sweatpants - Navy - 3-4 Years,Yes,Cancelled,USD,Voided,Fulfilled,Fulfilled,39.0,1,1,129.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,127.0,129.0,Sweat Pants,12,2020
2717,R-S-2523,2020-12-08,01:59:54,Basic Hoodie Sweat Coord - Mocha - M,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,130.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,283.0,285.0,Hoodie,12,2020
2718,R-S-2523,2020-12-08,01:59:54,Black Glitter Fighter Sweatshirt - M,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2719,R-S-2523,2020-12-08,01:59:54,Little Fighter Sweatshirt - Black Glitter - 7-8 Years,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2720,R-S-2523,2020-12-08,01:59:54,Little Sweatpants - Black - 7-8 Years,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,39.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2721,R-S-2524,2020-12-08,07:23:08,Little Fighter Sweatshirt - Military - 7-8 Years,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2722,R-S-2524,2020-12-08,07:23:08,Little Sweatpants - Black - 5-6 Years,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,39.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,127.0,129.0,Sweat Pants,12,2020
2723,R-S-2524,2020-12-08,07:23:08,Little Sweatpants - Military - 7-8 Years,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,39.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweat Pants,12,2020
2724,R-S-2525,2020-12-08,09:01:31,Little Fighter Sweatshirt - Military - 3-4 Years,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2725,R-S-2525,2020-12-08,09:01:31,Little Fighter Sweatshirt - Military - 5-6 Years,No,Not Cancelled,USD,Paid,Fulfilled,Pending,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2726,R-S-2525,2020-12-08,09:01:31,Little Sweatpants - Military - 3-4 Years,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,39.0,1,1,49.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,137.0,139.0,Sweat Pants,12,2020
2727,R-S-2526,2020-12-08,09:49:41,Little Fighter Sweatshirt - Emerald - 3-4 Years,No,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,49.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Sweatshirt,12,2020
2728,R-S-2526,2020-12-08,09:49:41,Navy & Fuschia Fighter Sweatshirt - M,Yes,Not Cancelled,USD,Paid,Fulfilled,Fulfilled,65.0,1,1,0.0,Custom,0.0,Low,2.0,LB,Local shipping,Web,114.0,116.0,Sweatshirt,12,2020
2729,R-S-2527,2020-12-08,11:37:06,Basic Hoodie Sweat Coord - Black - L / Heavy,No,Not Cancelled,USD,Paid,Fulfilled,Pending,130.0,1,1,0.0,Custom,0.0,0,0.0,LB,Local shipping,Web,0.0,0.0,Hoodie,12,2020
